"id","backers","parentCat","duration","goal","raised","faqs","comments","description.length"
458,26,"Music",33.98077546,6500,1278,0,1,2764
459,55,"Games",30.04166667,29180,1780,0,16,8213
460,219,"Music",60.02835648,11111,11797.33,3,3,2764
461,26,"Games",40,20000,647,0,4,10441
462,160,"Games",32.04166667,10000,3172.01,0,12,3547
463,119,"Games",30.04679398,23500,7337,0,0,6520
464,155,"Fashion",33.12725694,100,2391,1,4,1514
465,2,"Theater",30.04166667,1550,110,0,0,1572
466,343,"Games",30.04166667,3000,8322.5,1,38,7961
467,21,"Publishing",30.04166667,5200,1831,0,0,2717
468,32,"Film & Video",30.04166667,15000,2201,0,5,6544
469,13,"Music",32.57488426,1500,480,0,0,1093
470,31,"Film & Video",60.04059028,40000,1790,0,0,4129
471,24,"Music",35.04166667,4400,2380,0,0,784
472,38,"Art",30.04166667,10000,3326,0,0,2491
473,10,"Publishing",30.38925926,8000,613,0,0,6547
474,26,"Photography",40.30951389,7000,1545,2,0,5716
475,48,"Film & Video",30.04166667,25000,3811,0,0,2569
476,349,"Comics",30.04166667,6500,11842.57,2,5,3789
477,40,"Art",36.47533565,44526,1484,0,0,4473
478,20,"Publishing",31.44748843,3500,1600,0,0,9444
479,13,"Comics",30,7000,1606,0,0,5896
480,16,"Music",28.34225694,4000,917,0,2,1633
481,41,"Film & Video",33.55857639,3000,1365.44,0,0,3225
482,20,"Film & Video",20.04166667,7000,1660,0,0,2793
483,127,"Music",30.04166667,13000,7626,1,9,2935
484,384,"Film & Video",18.2481713,20000,20243,11,32,1885
485,5,"Food",45.04166667,1000,800,0,0,5157
486,46,"Film & Video",24.20309028,10000,3136,0,0,3512
487,13,"Music",52.61256944,15000,1145,0,0,932
488,100,"Comics",32.09121528,7500,3140.47,0,5,1171
489,308,"Film & Video",55.05090278,40000,47201,12,27,9937
490,6,"Film & Video",30.95833333,50000,680,0,0,2193
491,18,"Film & Video",31.26267361,30000,1415,0,0,2021
492,42,"Publishing",81.44380787,2000,2100,0,3,4659
493,3,"Music",30,13000,750,0,0,796
494,430,"Film & Video",41.8721875,15000,22508,0,24,7371
495,91,"Food",30,10000,11151,0,2,2869
496,293,"Fashion",30,20000,20884,2,33,2477
497,250,"Photography",35,13460,14130,0,10,6740
498,166,"Film & Video",18.60087963,11000,12519.51,0,32,3345
499,596,"Food",45,25000,48003.45,0,87,7276
500,111,"Film & Video",60,10000,10165,0,0,1670
501,21,"Film & Video",19.77465278,2500,2735,0,1,1022
502,23,"Dance",32.84670139,2500,2980,0,4,2987
503,31,"Art",30.04166667,5000,5010,0,0,1447
504,33,"Film & Video",44.95833333,2500,2503,0,2,1043
505,0,"Music",30.04166667,4500,0,0,0,2633
506,0,"Fashion",30.04166667,500,0,1,0,852
507,14,"Music",50.04166667,4000,402,0,0,1649
508,68,"Comics",34.14652778,4000,5566.23,1,12,5169
509,27,"Film & Video",30,2000,2515,0,1,1911
510,34,"Theater",27,2500,2856,0,0,1842
511,26,"Film & Video",31.95833333,1000,1056,0,0,2736
512,32,"Theater",21.55388889,1500,1695,0,2,2511
513,29,"Music",20.52115741,500,652,1,1,578
514,11,"Music",60,300,300,0,0,1926
515,36,"Art",60,2500,2690,6,1,1111
516,1070,"Publishing",45,50000,55598.82,0,47,5682
517,23,"Food",35.04166667,12000,1440,0,4,8664
518,40,"Comics",31,5000,5283,0,4,1521
519,69,"Dance",21.92444444,2500,3075,8,0,2538
520,68,"Dance",53.66690972,5000,5366,0,1,3139
521,642,"Film & Video",45,9750,23961.35,0,76,4954
522,32,"Music",30.06033565,2500,2875,0,1,2179
523,106,"Food",35,10000,11060,0,13,1093
524,41,"Publishing",30,900,1401,0,3,9790
525,78,"Dance",27.43795139,3000,3292,0,0,3878
526,63,"Theater",19.45896991,2600,3580,3,3,1660
527,24,"Photography",28,4000,720,0,2,2451
528,54,"Film & Video",14,5000,5080,0,1,3337
529,18,"Theater",30,1200,1225,0,0,1973
530,101,"Film & Video",40.93556713,6000,8000,0,6,5736
531,76,"Art",30,5500,5660,1,1,4979
532,164,"Film & Video",37,7777,8417.54,0,24,4142
533,16,"Music",30.95833333,3500,815,0,1,731
534,1,"Fashion",30,5500,25,0,0,4552
535,5,"Music",21,5000,790,0,0,4055
536,0,"Technology",60.04166667,10000,0,0,0,1130
537,2,"Art",16,3985,151,0,0,1866
538,0,"Fashion",30,10000,0,0,0,2885
539,37,"Theater",33.97476852,3500,3787,1,2,3861
540,2,"Games",31.36430556,2000,20,0,0,2285
541,37,"Theater",14,2000,2000,0,5,2117
542,82,"Film & Video",60,9000,9714,0,0,2678
543,8,"Film & Video",30,100,160,0,2,1832
544,65,"Music",30.43221065,4000,4590,0,2,1156
545,78,"Fashion",30,6800,6955,2,8,2820
546,80,"Art",31.36939815,2000,2264,1,1,2044
547,89,"Film & Video",29.95833333,6000,6146,0,1,4877
548,232,"Food",45,20000,22196.01,0,8,4580
549,30,"Photography",45.99719907,4800,4827,0,2,9469
550,71,"Music",15.5212037,3500,3700,0,0,1253
551,58,"Film & Video",30,3000,4450,0,0,2341
552,4,"Photography",60.04166667,2000,215,0,0,1006
553,138,"Film & Video",30,10600,10835.33,0,14,3993
554,123,"Food",30,10000,11697,0,1,1685
555,94,"Food",45,15000,15572,0,5,1532
556,46,"Food",56.70731481,10000,10025,0,4,1549
557,50,"Photography",30,600,1895,0,2,4956
558,50,"Photography",30,1000,1185,3,0,5033
559,177,"Food",21,7000,7864,3,3,4937
560,59,"Photography",49.61196759,5500,5732,0,2,1202
561,306,"Publishing",36.64277778,5000,20563.55,0,24,3533
562,78,"Film & Video",60,7500,9047,0,1,1041
563,43,"Photography",30.04166667,5000,3502,0,0,5971
564,12,"Art",45.04166667,4000,940,0,0,843
565,31,"Film & Video",60.04166667,8000,2300,0,1,1513
566,52,"Film & Video",30,40000,1850,2,7,4047
567,30,"Music",45.04166667,8000,3035,0,0,2185
568,1,"Fashion",60.04166667,400,15,0,0,696
569,3,"Music",33.44467593,5600,45,0,0,785
570,97,"Comics",30,3000,4294,1,4,6894
571,1,"Film & Video",30.04166667,25000,15,0,0,1448
572,68,"Theater",30.04166667,4000,2413,0,0,2588
573,290,"Technology",15,4000,104268.01,3,38,5243
574,71,"Games",59.95833333,1000,1535.23,9,25,7384
575,3,"Publishing",30.04166667,15000,110,0,0,9733
576,9,"Music",46.1428588,800,87.5,0,0,455
577,70,"Art",30,2000,2135.12,0,0,1616
578,44,"Theater",56.99453704,2000,2085.33,0,4,1589
579,18,"Music",60,550,615,0,0,636
580,4,"Music",45,25000,125,0,4,3304
581,0,"Music",29.01556713,3500,0,0,0,290
582,3,"Film & Video",90,7500,155,0,0,1842
583,3,"Comics",30,2000,45,0,0,1375
584,31,"Film & Video",30,500,1070,7,2,2505
585,24,"Food",20,300,453,1,4,208
586,15,"Publishing",32.33853009,15000,742,0,0,8311
587,4,"Art",50,5000,140,0,0,5381
588,61,"Music",80.22996528,2500,2515,0,2,2325
589,258,"Games",60,128000,6723,4,31,9922
590,98,"Publishing",30,3500,3815,0,3,3829
591,138,"Art",30.04166667,5000,5807,0,0,3798
592,114,"Food",28.34055556,4000,4412,0,1,3957
593,145,"Music",60,4500,5648.67,0,116,2442
594,51,"Music",30,3000,3150,0,0,1416
595,30,"Film & Video",59.65075231,1200,2265,0,3,2439
596,68,"Dance",30,5000,5275,1,0,3466
597,39,"Music",30,1000,1822.75,0,9,342
598,89,"Publishing",40.01743056,3500,4101.33,0,6,1507
599,19,"Film & Video",35,750,930,1,0,810
600,61,"Music",55.96583333,7000,7060,0,9,3049
601,169,"Music",25,10000,11160,1,5,5678
602,12,"Theater",30.04166667,5000,401,0,0,2314
603,57,"Fashion",15,500,1191,0,7,1451
