"id","backers","parentCat","duration","goal","raised","faqs","comments","description.length"
853,49,"Music",60.04166667,13000,1828,1,7,549
854,255,"Design",36.57907407,15000,7424,0,18,1944
855,610,"Design",31.04166667,50000,38759.02,0,130,15270
856,219,"Design",40.04166667,7500,6847,3,8,2988
857,286,"Food",29.40188657,15000,14040,1,21,1852
858,18,"Games",26.04166667,4000,542,0,5,6200
859,204,"Food",26.19831019,800,6712,0,12,6058
860,294,"Design",32.06104167,19500,27672.17,0,31,5317
861,93,"Food",30.04166667,5000,4919,1,4,5568
862,28,"Food",23.04166667,2500,1920,0,0,1052
863,47,"Publishing",30.34760417,20000,1503,0,0,6928
864,216,"Publishing",56.42903935,25000,5675.06,0,3,3394
865,284,"Music",30.04166667,15000,17023,0,28,4239
866,3,"Film & Video",30,2500,78,1,0,1860
867,11,"Music",30.04166667,2400,835,1,0,3703
868,26,"Theater",30.04166667,5000,2322,0,0,5727
869,62,"Film & Video",60.04166667,6000,4529,0,1,2506
870,24,"Food",45.0409838,12000,1662,0,0,5956
871,26,"Games",21.04166667,9500,441,0,0,18010
872,21,"Film & Video",30,2000,2116,0,0,1298
873,287,"Games",22.53344907,7500,8486,0,28,8575
874,224,"Games",30.04166667,7500,16683.5,8,544,13660
875,2449,"Design",31.20013889,50000,131130.5,9,166,6215
876,6,"Film & Video",43.79729167,6600,400,0,0,3980
877,54,"Music",30.02,12000,3670.48,0,0,3492
878,163,"Games",30.04166667,10000,10945.97,4,38,6511
879,313,"Comics",46.59056713,5000,14111,0,15,1848
880,26,"Music",30.04166667,8000,4440,0,0,3310
881,46,"Music",41.20114583,10000,2813,0,1,2936
882,20,"Film & Video",29.31349537,15000,979,0,0,2330
883,19,"Music",30.04166667,5000,960,0,0,1708
884,247,"Theater",60.04166667,130000,20567,0,5,3196
885,63,"Music",30.04166667,5000,4032.31,5,2,1567
886,48,"Film & Video",30.04166667,3000,3748,0,0,3301
887,7,"Music",30.04166667,1000,346,0,0,1813
888,6,"Music",30.04166667,5000,617,0,1,2567
889,2,"Publishing",15.04166667,850,110,0,0,1271
890,5,"Music",16.3537963,1000,550,0,0,561
891,74,"Music",15,4000,4350,0,12,1785
892,63,"Film & Video",29.25202546,40000,6537,0,0,2550
893,135,"Film & Video",45.04166667,30000,21288,0,0,4066
894,73,"Film & Video",45.04166667,6000,3626.28,0,5,2303
895,54,"Film & Video",45.04166667,7000,2563,0,7,1950
896,9,"Food",30.04166667,500,410,1,1,1632
897,51,"Comics",40.04166667,9500,1721,0,1,3807
898,810,"Games",36.76412037,15000,25146.52,0,38,4286
899,8,"Art",60.03486111,2000,346,0,2,1839
900,38,"Music",29.2394213,3000,3121,0,0,915
901,1,"Publishing",30.04166667,5200,140,0,0,2411
902,51,"Publishing",28.11480324,1013,1023.33,0,1,821
903,8,"Film & Video",45.04166667,2500,405,0,0,511
904,12,"Film & Video",30.04166667,12000,1026,0,1,7144
905,90,"Film & Video",30.04166667,32000,7869.01,1,0,8307
906,69,"Art",27.61241898,15000,2654,12,2,5947
907,0,"Film & Video",30.04166667,7000,0,0,0,1724
908,37,"Music",30.04166667,2000,1256,0,0,1325
909,16,"Art",37.28943287,30000,830,0,0,2558
910,3,"Music",60.04166667,8000,160,0,0,1150
911,6,"Fashion",31.3783912,1000,230,0,0,636
912,26,"Film & Video",59.36951389,30000,1827,0,0,6160
913,49,"Technology",21,15000,3731,2,6,14171
914,11,"Art",30.04166667,7500,820,0,1,3516
915,2,"Art",60.04166667,2000,115,0,0,1706
916,1366,"Design",44.66489583,1e+05,321314.5,32,149,10598
917,44,"Film & Video",22.09972222,2000,2109,0,0,488
918,147,"Music",31.1240625,17628.64,17797,1,13,676
919,0,"Publishing",30.04166667,5000,0,0,0,1341
920,38,"Music",30,2000,2438,0,0,2609
921,614,"Games",40.04166667,40000,14465.64,2,70,3721
922,326,"Design",60.04166667,40000,26172,0,25,6492
923,14,"Games",30.04166667,22000,1390,1,0,5138
924,69,"Design",45.04166667,65000,5369.5,0,4,3764
925,16,"Publishing",30.6444213,5500,412,0,0,2419
926,12,"Publishing",60.04166667,8500,735,0,0,6520
927,101,"Publishing",38.49392361,7800,9799,0,26,3646
928,27,"Theater",30,1500,1660,6,0,1565
929,21,"Film & Video",26.9233912,2000,2000.5,0,2,4455
930,12,"Film & Video",30,2000,2037,0,2,4923
931,85,"Film & Video",30,6000,6025.01,0,2,2219
932,653,"Film & Video",60,50000,51620.58,0,18,7597
933,114,"Film & Video",25.90490741,5000,7445,1,5,4228
934,38,"Film & Video",30,1800,1804.99,0,0,1306
935,56,"Film & Video",30,5000,5430,0,9,6089
936,24,"Film & Video",60,3000,1387,0,0,2004
937,29,"Art",60.04166667,9800,1262,0,5,3743
938,17,"Publishing",48.07076389,9110,691,0,0,2172
939,33,"Technology",35.04166667,50000,4084,2,1,3889
940,78,"Technology",30.04166667,25000,11326,6,9,6729
941,4,"Publishing",35,2000,118,0,1,7088
942,44,"Design",26.04166667,30000,1826,1,6,4648
943,11,"Fashion",36.31083333,5000,2507,0,0,1743
944,1,"Publishing",28.04166667,500,26,0,0,1394
945,1,"Games",45.04166667,5500,1,0,0,1104
946,1,"Music",60.04166667,3000,25,0,0,1956
947,1,"Art",43.51283565,75,50,1,0,304
948,192,"Music",28,5000,6636,1,7,5941
949,59,"Music",30.04166667,5000,5425,0,1,1992
950,50,"Music",31.43583333,3000,5490,0,0,913
951,23,"Dance",43.39025463,2000,2025,0,1,2031
952,95,"Music",33.43351852,8000,9575,0,12,4901
953,16,"Music",13.53219907,750,865,0,0,889
954,11,"Theater",23.55694444,400,400,0,1,186
955,41,"Photography",79.8174537,2400,3190,0,0,1764
956,17,"Design",30.04166667,5000,660,1,0,2947
957,45,"Music",45,2200,2505,0,2,2113
958,246,"Music",48.5106713,18000,21684.2,0,64,3853
959,224,"Games",35.9355787,12000,15803.05,0,24,7363
960,20,"Art",30,3000,3027,0,2,3292
961,22,"Design",30.8262037,2500,2535,0,0,2228
962,59,"Music",60,2500,2502,0,4,2018
963,606,"Technology",30,33000,36900.66,0,9,4818
964,38,"Film & Video",30,1500,2381,0,1,4356
965,8,"Art",50,800,830,0,0,2272
966,14,"Photography",60,1000,1335,1,2,3616
967,64,"Design",12.04166667,11000,3540,1,9,3634
968,37,"Design",35.04166667,5000,1105,0,4,1611
969,44,"Fashion",40.04166667,10000,3561,0,0,3969
970,3266,"Design",40,90000,797979.01,17,455,4812
971,214,"Music",45,10000,24599,3,30,304
972,205,"Design",45,10000,15599,2,127,2904
973,28,"Film & Video",30,500,945,0,1,1775
974,3,"Publishing",10.05756944,50,53,0,1,755
975,394,"Design",40,80000,88660,0,56,7949
976,34,"Art",36.27387731,2500,3345,0,5,1548
977,117,"Design",30,8000,9257,0,128,8313
978,18,"Film & Video",27.24769676,3000,988,0,0,3063
979,195,"Theater",30.04166667,15000,18397,0,1,5594
980,12,"Photography",30.04166667,1500,660,0,0,1796
981,4,"Music",30.04166667,10000,262,0,0,525
982,54,"Music",30.04166667,3500,2355,1,1,890
983,20,"Design",33.04166667,10000,739,0,0,598
984,5,"Music",30.04166667,1000,275,0,0,387
985,44,"Film & Video",30,5000,5250,0,0,3770
986,2936,"Publishing",28.13210648,4000,91751.34,5,123,4190
987,24,"Music",60,1400,1475,0,1,1081
988,54,"Fashion",30,6800,6870,0,9,1010
989,538,"Comics",30.04166667,5000,18475.7,1,12,6676
990,104,"Art",29.56795139,4950,4267,0,1,3214
991,126,"Publishing",30.04166667,18000,6576.76,0,12,5393
992,134,"Games",31.23493056,60000,8756.5,2,13,26670
993,43,"Games",45.74945602,6000,2785,3,26,5894
994,77,"Games",30.04166667,5000,3221,3,10,3338
995,33,"Film & Video",38.39887731,3001,1531,0,0,6800
996,43,"Design",30.04166667,120000,3249,1,14,8987
997,102,"Music",30.04166667,20000,4581,0,3,4706
998,32,"Games",30.04166667,30000,9740,0,40,16536
999,10,"Music",30.42917824,3100,705,0,0,841
1000,32,"Music",30.04166667,1500,863,0,3,785
